PassengerId,Survived,Age,SibSp,Parch,Fare,Cabin_No,Cabin_Yes,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3,Sex_Pclass_female_1,Sex_Pclass_female_2,Sex_Pclass_female_3,Sex_Pclass_male_1,Sex_Pclass_male_2,Sex_Pclass_male_3,Age_scaled,Fare_scaled
1,0,22.0,1,0,7.25,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-0.56138008091,-0.502445171436
2,1,38.0,1,0,71.2833,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0.613170753031,0.786845293588
3,1,26.0,0,0,7.925,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,-0.267742372425,-0.488854257585
4,1,35.0,1,0,53.1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0.392942471667,0.420730236069
5,0,35.0,0,0,8.05,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0.392942471667,-0.486337421687
6,0,23.8389525861,0,0,8.4583,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,-0.426383625063,-0.478116428909
7,0,54.0,0,0,51.8625,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1.78772158697,0.395813560675
8,0,2.0,3,1,21.075,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-2.02956862334,-0.224083121082
9,1,27.0,0,2,11.1333,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,-0.194332945304,-0.424256140685
10,1,14.0,1,0,30.0708,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,-1.14865549788,-0.0429555020886
11,1,4.0,1,1,16.7,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,-1.88274976909,-0.312172377523
12,1,58.0,0,0,26.55,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,2.08135929546,-0.113845708735
13,0,20.0,0,0,8.05,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-0.708198935153,-0.486337421687
14,0,39.0,1,5,31.275,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0.686580180152,-0.0187093117785
15,0,14.0,0,0,7.8542,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,-1.14865549788,-0.490279793438
16,1,55.0,0,0,16.0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1.86113101409,-0.326266658554
17,0,2.0,4,1,29.125,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,-2.02956862334,-0.0619988892297
18,1,32.0664930501,0,0,13.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0.177595407015,-0.386670720113
19,0,31.0,1,0,18.0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0.0993047631816,-0.28599728418
20,1,29.5182051421,0,0,7.225,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,-0.0094729484496,-0.502948538616
21,0,35.0,0,0,26.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0.392942471667,-0.124919786688
22,1,34.0,0,0,13.0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0.319533044546,-0.386670720113
23,1,15.0,0,0,8.0292,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,-1.07524607076,-0.48675622318
24,1,28.0,0,0,35.5,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,-0.120923518182,0.0663597415848
25,0,8.0,3,1,21.075,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,-1.58911206061,-0.224083121082
26,1,38.0,1,5,31.3875,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0.613170753031,-0.01644415947
27,0,29.5182051421,0,0,7.225,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,-0.0094729484496,-0.502948538616
28,0,19.0,3,2,263.0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,-0.781608362274,4.64700107653
29,1,22.3801132388,0,0,7.8792,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,-0.533476185807,-0.489776426258
30,0,27.9472061629,0,0,7.8958,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-0.124799083517,-0.489442190451
31,0,40.0,0,0,27.7208,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0.759989607273,-0.0902720169771
32,1,36.1080482222,1,0,146.5208,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0.474283656883,2.30172882079
33,1,35.295824299,0,0,7.75,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0.414658763987,-0.492377827843
34,0,66.0,0,0,10.5,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,2.66863471243,-0.43700743808
35,0,28.0,1,0,82.1708,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,-0.120923518182,1.00606170033
36,0,42.0,1,0,52.0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0.906808461516,0.398582080163
